grid_lat,grid_lon,count
18.31,109.60000000000001,2
18.31,109.61,2
18.31,109.69,3
18.31,109.7,2
18.31,109.71000000000001,1
18.31,109.72,4
18.32,109.16,3
18.32,109.24000000000001,2
18.32,109.32000000000001,1
18.32,109.43,1
18.32,109.46000000000001,2
18.32,109.49000000000001,2
18.32,109.53,1
18.32,109.57000000000001,3
18.32,109.7,1
18.330000000000002,109.14,1
18.330000000000002,109.15,6
18.330000000000002,109.16,4
18.330000000000002,109.17,2
18.330000000000002,109.54,1
18.330000000000002,109.7,2
18.330000000000002,109.71000000000001,1
18.330000000000002,109.73,2
18.34,109.16,1
18.34,109.17,4
18.34,109.54,2
18.34,109.7,1
18.34,109.73,1
18.35,109.12,1
18.35,109.15,1
18.35,109.16,2
18.35,109.17,1
18.35,109.74000000000001,1
18.36,109.12,1
18.36,109.16,1
18.36,109.59,1
18.36,109.63,1
18.36,109.74000000000001,3
18.37,109.15,3
18.37,109.72,1
18.37,109.73,1
18.37,109.74000000000001,4
18.38,109.04,1
18.38,109.05,1
18.38,109.73,1
18.38,109.83,1
18.38,109.84,2
18.39,108.96000000000001,2
18.39,109.14,1
18.39,109.42,1
18.39,109.71000000000001,1
18.39,109.72,2
18.39,109.81,1
18.39,109.82000000000001,1
18.39,109.84,5
18.400000000000002,109.01,1
18.400000000000002,109.61,1
18.400000000000002,109.7,1
18.400000000000002,109.74000000000001,1
18.400000000000002,109.77,3
18.400000000000002,109.81,1
18.400000000000002,109.84,1
18.400000000000002,109.85000000000001,3
18.400000000000002,110.02,1
18.41,109.3,3
18.41,109.71000000000001,1
18.41,109.78,2
18.41,109.85000000000001,4
18.41,109.87,2
18.41,109.88,1
18.41,109.89,1
18.41,109.91,1
18.41,109.94,1
18.41,109.96000000000001,5
18.41,110.04,1
18.42,109.85000000000001,3
18.42,109.87,2
18.42,109.96000000000001,1
18.42,109.97,1
18.43,109.85000000000001,1
18.43,109.94,2
18.43,109.96000000000001,3
18.44,108.91,1
18.44,108.93,3
18.44,109.84,2
18.44,110.04,3
18.45,108.9,1
18.45,108.94,2
18.45,108.95,3
18.45,109.66,2
18.45,109.7,1
18.45,110.05,2
18.45,110.07000000000001,2
18.46,108.87,1
18.46,108.9,1
18.46,108.99000000000001,1
18.46,109.66,1
18.46,110.06,2
18.47,108.89,1
18.47,109.99000000000001,2
18.490000000000002,108.79,1
18.490000000000002,108.81,1
18.490000000000002,110.01,2
18.490000000000002,110.03,1
18.5,108.68,1
18.5,109.89,1
18.5,109.99000000000001,3
18.5,110.0,1
18.5,110.01,4
18.5,110.02,3
18.5,110.03,5
18.51,108.69,1
18.51,108.78,4
18.51,109.10000000000001,1
18.51,109.95,1
18.51,109.96000000000001,2
18.51,110.01,1
18.51,110.02,7
18.51,110.03,2
18.52,108.69,1
18.52,110.02,7
18.52,110.03,3
18.52,110.04,1
18.52,110.10000000000001,1
18.53,108.77,2
18.53,110.02,1
18.53,110.03,1
18.54,109.62,4
18.54,109.78,2
18.54,110.02,1
18.54,110.04,1
18.54,110.07000000000001,1
18.55,108.74000000000001,1
18.55,109.7,2
18.55,109.96000000000001,1
18.55,110.02,2
18.55,110.11,1
18.55,110.12,3
18.56,109.28,1
18.56,109.63,1
18.56,110.0,1
18.56,110.01,1
18.56,110.13,2
18.56,110.14,1
18.57,108.73,1
18.57,109.63,1
18.57,110.14,1
18.580000000000002,108.73,1
18.580000000000002,109.61,2
18.580000000000002,109.66,1
18.580000000000002,109.87,1
18.580000000000002,109.9,1
18.580000000000002,109.91,1
18.59,109.61,1
18.59,110.04,2
18.6,109.73,1
18.6,109.96000000000001,2
18.6,110.04,1
18.61,108.71000000000001,1
18.61,109.11,2
18.61,109.5,2
18.61,109.60000000000001,1
18.61,109.95,1
18.62,108.74000000000001,1
18.62,109.26,1
18.62,109.60000000000001,1
18.62,109.67,3
18.62,109.7,1
18.62,110.21000000000001,1
18.63,109.68,2
18.63,109.69,13
18.63,109.7,5
18.63,109.71000000000001,1
18.63,109.75,1
18.63,110.2,3
18.64,108.74000000000001,3
18.64,109.69,9
18.64,109.7,3
18.64,109.71000000000001,2
18.64,110.2,1
18.650000000000002,109.57000000000001,1
18.650000000000002,109.68,1
18.650000000000002,109.69,1
18.650000000000002,110.24000000000001,1
18.66,108.71000000000001,1
18.66,109.68,1
18.66,109.77,1
18.66,109.83,1
18.66,110.26,1
18.67,110.25,1
18.67,110.26,2
18.67,110.28,4
18.67,110.3,1
18.67,110.33,3
18.67,110.34,2
18.67,110.35000000000001,2
18.68,108.7,1
18.68,108.78,1
18.68,109.57000000000001,1
18.68,109.67,1
18.68,110.15,1
18.68,110.23,1
18.68,110.24000000000001,1
18.68,110.35000000000001,2
18.69,108.78,1
18.69,108.79,1
18.69,108.8,1
18.69,109.2,1
18.69,109.21000000000001,1
18.69,109.66,1
18.69,110.37,1
18.7,108.81,1
18.7,109.69,1
18.71,110.24000000000001,1
18.71,110.25,4
18.71,110.28,4
18.71,110.3,2
18.71,110.39,1
18.72,110.23,4
18.72,110.24000000000001,2
18.72,110.25,1
18.72,110.28,3
18.72,110.29,4
18.72,110.4,1
18.73,109.17,1
18.73,109.47,1
18.73,110.19,1
18.73,110.38,3
18.740000000000002,109.17,3
18.740000000000002,109.18,1
18.740000000000002,109.58,2
18.740000000000002,109.59,1
18.740000000000002,109.61,1
18.740000000000002,110.21000000000001,2
18.740000000000002,110.22,2
18.75,109.16,4
18.75,109.17,3
18.75,109.18,2
18.75,109.52,1
18.75,109.53,1
18.75,109.54,1
18.75,110.2,1
18.75,110.21000000000001,2
18.75,110.22,2
18.75,110.32000000000001,1
18.76,108.69,1
18.76,109.5,2
18.76,109.51,3
18.76,109.52,5
18.76,109.53,1
18.77,109.5,1
18.77,109.51,4
18.77,109.52,8
18.78,108.71000000000001,1
18.78,109.17,1
18.78,109.51,5
18.78,110.25,1
18.79,108.68,1
18.79,109.17,1
18.79,109.4,1
18.79,109.87,1
18.79,110.34,1
18.79,110.35000000000001,3
18.79,110.37,1
18.79,110.38,1
18.8,110.37,2
18.8,110.38,5
18.8,110.39,2
18.8,110.4,1
18.81,110.38,4
18.81,110.39,2
18.82,110.2,1
18.82,110.38,5
18.82,110.39,3
18.82,110.4,3
18.830000000000002,108.65,1
18.84,108.64,1
18.84,108.65,1
18.84,109.31,1
18.85,108.64,1
18.85,109.33,1
18.85,110.19,1
18.86,109.67,1
18.86,110.43,1
18.87,109.39,1
18.87,109.4,1
18.87,109.66,1
18.87,109.83,1
18.87,110.43,1
18.88,109.65,4
18.88,109.66,2
18.89,108.97,2
18.89,110.01,1
18.900000000000002,109.67,3
18.900000000000002,110.01,1
18.900000000000002,110.4,2
18.900000000000002,110.47,1
18.91,108.93,1
18.92,109.46000000000001,1
18.92,110.33,3
18.92,110.46000000000001,1
18.93,109.5,1
18.95,108.68,1
18.95,110.46000000000001,1
18.96,109.87,2
18.96,110.47,1
18.97,108.68,1
18.98,108.68,1
18.98,109.85000000000001,1
18.98,110.37,1
