grid_lat,grid_lon,count
36.49,-4.8,1
36.49,-4.72,1
36.5,-6.2700000000000005,3
36.5,-4.93,1
36.5,-4.9,1
36.5,-4.89,1
36.5,-4.7700000000000005,1
36.5,-4.69,2
36.5,-4.65,1
36.51,-6.29,1
36.51,-6.28,1
36.51,-4.98,1
36.51,-4.91,2
36.51,-4.89,1
36.51,-4.87,1
36.52,-6.28,1
36.52,-6.19,1
36.52,-5.05,4
36.52,-4.64,1
36.53,-6.3,2
36.53,-6.2,1
36.53,-4.65,1
36.53,-4.63,2
36.54,-4.73,1
36.54,-4.67,1
36.54,-4.64,1
36.54,-4.62,1
36.54,26.34,1
36.54,26.35,1
36.58,-6.22,1
36.58,-4.6000000000000005,2
36.58,-4.5600000000000005,2
36.58,-4.54,2
36.59,-6.25,1
36.59,-6.24,1
36.59,-6.23,1
36.59,-4.64,1
36.59,-4.54,1
36.59,-4.53,2
36.59,-4.5200000000000005,1
36.6,-4.5200000000000005,1
36.61,-6.22,2
36.61,-6.2,1
36.62,-4.5,3
36.63,-6.37,2
36.63,-4.51,1
36.63,-4.5,1
36.64,-6.2700000000000005,1
36.64,-4.69,1
36.64,-4.64,1
36.65,-6.140000000000001,1
36.65,-4.76,1
36.65,-4.55,1
36.65,-4.49,2
36.660000000000004,-4.75,1
36.660000000000004,-4.55,1
36.660000000000004,-4.51,1
36.660000000000004,-4.47,2
36.67,-6.15,1
36.67,-4.74,2
36.67,-4.48,2
36.68,-6.41,1
36.68,-6.140000000000001,1
36.68,-6.13,1
36.68,-6.12,1
36.68,-6.11,1
36.68,-4.48,1
36.68,-4.47,2
36.68,-4.46,2
36.68,-4.45,1
36.68,15.13,1
36.68,22.5,1
36.69,-6.43,1
36.69,-6.17,1
36.69,-6.16,4
36.69,-6.140000000000001,1
36.69,-6.13,2
36.69,-4.54,1
36.69,-4.47,1
36.69,-4.46,1
36.69,-2.79,1
36.69,22.37,1
36.7,-6.13,2
36.7,-6.12,1
36.7,-6.03,1
36.7,-4.49,1
36.7,-4.48,1
36.7,-4.47,1
36.71,-4.48,1
36.71,-4.47,1
36.71,-4.45,2
36.71,-4.44,1
36.71,-4.43,3
36.71,-4.42,4
36.71,-4.37,1
36.71,-4.26,1
36.71,-4.23,1
36.71,14.76,1
36.72,-4.55,1
36.72,-4.47,1
36.72,-4.45,2
36.72,-4.44,1
36.72,-4.43,1
36.72,-4.42,1
36.72,-4.39,1
36.72,-4.37,1
36.72,-4.36,1
36.72,-3.5300000000000002,1
36.730000000000004,-4.62,1
36.730000000000004,-4.5600000000000005,1
36.730000000000004,-4.55,1
36.730000000000004,-4.5,1
36.730000000000004,-4.44,1
36.730000000000004,-4.43,1
36.730000000000004,-3.7600000000000002,1
36.730000000000004,-3.69,1
36.730000000000004,-3.52,1
36.730000000000004,15.11,1
36.74,-5.83,2
36.74,-5.8,1
36.74,-5.17,4
36.74,-5.15,1
36.74,-4.49,1
36.74,-4.42,1
36.74,-4.1,1
36.74,-3.89,2
36.74,-3.59,1
36.74,-3.5300000000000002,1
36.74,-3.52,1
36.74,22.56,1
36.75,-5.83,1
36.75,-5.3500000000000005,1
36.75,-4.5,1
36.75,-4.1,1
36.75,-3.89,1
36.75,-3.88,1
36.75,-3.87,1
36.75,-2.81,2
36.76,-5.14,1
36.76,-4.1,1
36.76,-2.99,1
36.76,-2.62,3
36.76,-2.61,1
36.76,14.63,2
36.77,-2.83,2
36.77,-2.81,2
36.78,-6.36,2
36.78,-4.14,1
36.78,14.540000000000001,2
36.78,14.55,1
36.78,14.56,1
36.78,14.9,1
36.79,-3.9,1
36.79,14.700000000000001,2
36.800000000000004,-2.63,2
36.800000000000004,-2.6,1
36.81,-5.19,1
